Partlist exported from C:/Users/Parents/Documents/League/GitHub/EE-Workshop/Lesson 4/Eagle/DIYpiano/DIYpiano.sch at 12/14/2018 4:01 PMPartlist exported from C:/Users/Parents/Documents/League/GitHub/EE-Workshop/Lesson 4/Eagle/DIYpiano/DIYpiano.sch at 12/14/2018 4:01 PMQty,Digikey#,Digikey $,Mouser#,Mouser $,Manf#,Manf,Device,Value,Description,,Package Type,Order Quantity,Order Price,Min\Mult Order Qty
1,,,534-3001,$0.63 ,3001,Keystone Electronics,CR1220THM,3V,CR1216/CR1220/CR1225 12mm 3V lithium coin cell,,,1,$0.63 ,1\1
2,,,581-SR201C104KARTR1,$0.10 ,SR201C104KARTR1,AVX,C-US025-025X050,100nF,CAPACITOR,American symbol,REEL,2,$0.10 ,1\1
1,,,595-TLC555CP,$0.84 ,TLC555CP,Texas Instruments,NE555N,NE555N,TIMER,,TUBE,1,$0.84 ,1\1
1,,,603-MFR-25FBF52-1K1,$0.10 ,MFR-25FBF52-1K1,Yageo,R-US_0207/10,1.1K,RESISTOR,American symbol,BULK,1,$0.10 ,1\1
1,,,603-MFR-25FBF52-1K3,$0.10 ,MFR-25FBF52-1K3,Yageo,R-US_0207/10,1.3K,RESISTOR,American symbol,BULK,1,$0.10 ,1\1
1,,,603-MFR-25FBF52-1K5,$0.10 ,MFR-25FBF52-1K5,Yageo,R-US_0207/10,1.5K,RESISTOR,American symbol,BULK,1,$0.10 ,1\1
3,,,660-MF1/4DCT26A1001F,$0.10 ,MF1/4DCT26A1001F,KOA Speer,R-US_0207/10,1K,RESISTOR,American symbol,AMMO PACK,3,$0.10 ,1\1
1,,,603-MFR-25FRF52-6K2,$0.12 ,MFR-25FRF52-6K2,Yageo,R-US_0207/10,6.2K,RESISTOR,American symbol,REEL,1,$0.12 ,1\1
1,,,603-MFR-25FTE52-390R,$0.12 ,MFR-25FTE52-390R,Yageo,R-US_0207/10,390,RESISTOR,American symbol,AMMO PACK,1,$0.12 ,1\1
1,,,603-MFR-25FBF52-620R,$0.12 ,MFR-25FBF52-620R,Yageo,R-US_0207/10,620,RESISTOR,American symbol,BULK,1,$0.12 ,1\1
1,,,603-MFR-25FRF52-910R,$0.12 ,MFR-25FRF52-910R,Yageo,R-US_0207/10,910,RESISTOR,American symbol,REEL,1,$0.12 ,1\1
8,,,653-B3F-1000,$0.25 ,B3F-1000,Omron,MOMENTARY-SWITCH-SPST-PTH-6.0MM,MOMENTARY-SWITCH-SPST-PTH-6.0MM,Momentary Switch (Pushbutton) - SPST,,,8,$0.25 ,1\1
1,,,665-AST-01508MR-R,$3.83 ,AST-01508MR-R,PUI Audio,F/HMB,,BUZZER Source: Buerklin,,BULK,1,$3.83 ,1\1
1,,,833-PN2222A-AP,$0.20 ,PN2222A-AP,Micro Commercial Components (MCC),#NAME?,2N2222,NPN Transistror,,AMMO PACK,1,$0.20 ,1\1
,***Total Price***,0,,,,,,,,,,,,
,***Unit Price***,0,,,,,,,,,,,,
